id,proveedor,pagina,imagen,nombre_original,url
AIM-P001-050,Designs Aimari,1,AIM-P001-050.jpg,Electricos FC,https://media.designsaimari.com/products/cmtvkc6jh45v5la01dp1mz4g2/previews/1789046953725-0255267c-3e96-49c1-994e-bb0decdd491a.jpg
AIM-P001-051,Designs Aimari,1,AIM-P001-051.jpg,Fenix Blindado,https://media.designsaimari.com/products/cmtup2z3d40obla01qbbx5z24/previews/1788994416066-95647b3b-e633-4f30-92e4-24aadb8fc085.jpg
AIM-P001-052,Designs Aimari,1,AIM-P001-052.jpg,Jersey Shonan Bellmare 2026 Verde,https://media.designsaimari.com/products/cmtump0kd45yeqi01ydoeijgc/previews/1788990404164-71d5f2ff-8cbf-4401-8254-c83ce479812d.jpg
AIM-P001-053,Designs Aimari,1,AIM-P001-053.png,Textura Sports Colors,https://media.designsaimari.com/products/cmtulxrun3zdbla01c7h56ggw/previews/1788989131786-a81b7fbc-1ce0-45ad-93ce-5ceca72ea9ef.png
AIM-P001-054,Designs Aimari,1,AIM-P001-054.jpg,Las Vegas Raiders Concept,https://media.designsaimari.com/products/cmtulujn645nzqi01ee3hml7l/previews/1788988980958-a34fa64d-6e0c-4496-8d91-635d03984dee.jpg
AIM-P001-055,Designs Aimari,1,AIM-P001-055.jpg,Jersey Powerlifting,https://media.designsaimari.com/products/cmtul9xgd4534qi01aab0vi32/previews/1788988020395-c04e401f-90b5-4020-a65b-43df898d0b80.jpg
AIM-P001-056,Designs Aimari,1,AIM-P001-056.jpg,Las del Barrio,https://media.designsaimari.com/products/cmtul0aoy3yy3la01zqsy6eco/previews/1788987587680-411de501-18b9-4ceb-8515-0f1620f321cc.jpg
AIM-P001-057,Designs Aimari,1,AIM-P001-057.jpg,Zumba Design Sports Colors,https://media.designsaimari.com/products/cmtukpilx44sxqi01hzw37crx/previews/1788987111476-193dd251-b325-4689-83b9-09d2389d6409.jpg
AIM-P001-058,Designs Aimari,1,AIM-P001-058.jpg,Costa De Marfil,https://media.designsaimari.com/products/cmtujj8qq442lqi01hgd9o9nn/previews/1788985094792-1e0878d5-3eb3-4882-b515-6132bfadf0ee.jpg
AIM-P001-059,Designs Aimari,1,AIM-P001-059.jpg,Gacelas Concept Azul,https://media.designsaimari.com/products/cmtuii1h63xjula016s4fo03z/previews/1788983358902-e52aae96-db43-4f94-a518-33787a6ac8b0.jpg
AIM-P001-060,Designs Aimari,1,AIM-P001-060.jpg,Jersey Infantería Marina,https://media.designsaimari.com/products/cmtuhlqx5433jqi01odox94i8/previews/1788981859880-addad672-bad0-4ed1-a2dc-56a299913017.jpg
